location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Temperature [2 m elevation corrected]
20230105T0800,6.500192
20230105T0900,7.600192
20230105T1000,10.030191
20230105T1100,11.670192
20230105T1200,13.090192
20230105T1300,14.190191
20230105T1400,15.620192
20230105T1500,15.780191
20230105T1600,15.710192
20230105T1700,14.210192
20230105T1800,12.230191
20230105T1900,11.210192
20230105T2000,10.090192
20230105T2100,10.230191
20230105T2200,9.560191
20230105T2300,9.680192
20230106T0000,9.630192
20230106T0100,9.140191
20230106T0200,8.390192
20230106T0300,7.410192
20230106T0400,7.610192
20230106T0500,7.340192
20230106T0600,7.070192
20230106T0700,7.150192
20230106T0800,7.460192
20230106T0900,7.930192
20230106T1000,9.820191
20230106T1100,11.190191
20230106T1200,12.410192
20230106T1300,13.190191
20230106T1400,15.090192
20230106T1500,15.980191
20230106T1600,15.540192
20230106T1700,14.400191
20230106T1800,13.850191
20230106T1900,13.510192
20230106T2000,12.9501915
20230106T2100,13.160192
20230106T2200,13.300192
20230106T2300,13.240191
20230107T0000,13.2001915
20230107T0100,13.510192
20230107T0200,14.000192
20230107T0300,13.930192
20230107T0400,14.330192
20230107T0500,14.890191
20230107T0600,14.760192
20230107T0700,14.640191
20230107T0800,14.820191
20230107T0900,15.170192
20230107T1000,15.990191
20230107T1100,16.180193
20230107T1200,16.730192
20230107T1300,16.660192
20230107T1400,16.400192
20230107T1500,16.630192
20230107T1600,16.540192
20230107T1700,16.250193
20230107T1800,16.170193
20230107T1900,15.990191
20230107T2000,15.540192
20230107T2100,15.090192
20230107T2200,15.440191
20230107T2300,15.4501915
20230108T0000,15.670192
20230108T0100,15.710192
20230108T0200,15.980191
20230108T0300,15.880192
20230108T0400,15.880192
20230108T0500,16.170193
20230108T0600,16.290192
20230108T0700,16.370192
20230108T0800,16.170193
20230108T0900,16.740192
20230108T1000,16.890192
20230108T1100,17.210192
20230108T1200,17.280193
20230108T1300,17.280193
20230108T1400,17.640192
20230108T1500,17.420193
20230108T1600,17.160192
20230108T1700,16.630192
20230108T1800,16.470192
20230108T1900,16.680193
20230108T2000,16.800192
20230108T2100,16.680193
20230108T2200,16.460192
20230108T2300,16.340193
20230109T0000,16.300192
20230109T0100,16.110191
20230109T0200,15.960192
20230109T0300,15.840192
20230109T0400,15.640191
20230109T0500,15.210192
20230109T0600,14.590192
20230109T0700,14.060191
20230109T0800,13.860191
20230109T0900,14.570191
20230109T1000,15.830192
20230109T1100,16.370192
20230109T1200,17.110193
20230109T1300,17.660192
20230109T1400,17.630192
20230109T1500,17.750193
20230109T1600,17.770193
20230109T1700,17.210192
20230109T1800,15.930192
20230109T1900,15.600191
20230109T2000,14.440191
20230109T2100,14.120192
20230109T2200,14.530191
20230109T2300,14.190191
20230110T0000,13.660192
20230110T0100,13.220192
20230110T0200,12.970192
20230110T0300,13.150191
20230110T0400,13.260192
20230110T0500,13.160192
20230110T0600,13.480191
20230110T0700,13.600191
20230110T0800,13.810191
20230110T0900,14.060191
20230110T1000,14.990191
20230110T1100,15.440191
20230110T1200,15.990191
20230110T1300,16.560192
20230110T1400,16.650192
20230110T1500,16.250193
20230110T1600,16.020191
20230110T1700,15.640191
20230110T1800,15.380192
20230110T1900,15.150191
20230110T2000,14.650191
20230110T2100,14.100191
20230110T2200,13.7001915
20230110T2300,13.000192
20230111T0000,13.120192
20230111T0100,13.170192
20230111T0200,13.970192
20230111T0300,14.370192
20230111T0400,14.750192
20230111T0500,14.740191
20230111T0600,14.890191
20230111T0700,14.820191
20230111T0800,14.730191
20230111T0900,14.750192
20230111T1000,15.500192
20230111T1100,16.020191
20230111T1200,16.570192
20230111T1300,16.970192
20230111T1400,17.130192
20230111T1500,16.870192
20230111T1600,16.370192
20230111T1700,15.010192
20230111T1800,14.150191
20230111T1900,13.500192
20230111T2000,12.260192
20230111T2100,11.510192
20230111T2200,10.760192
20230111T2300,10.630192
20230112T0000,10.350191
20230112T0100,9.910192
20230112T0200,9.750192
20230112T0300,9.610191
20230112T0400,9.590192
20230112T0500,9.140191
20230112T0600,8.760192
20230112T0700,8.250192
20230112T0800,8.020192
20230112T0900,9.220192
20230112T1000,11.680192
20230112T1100,13.270191
20230112T1200,14.260192
20230112T1300,15.040192
20230112T1400,15.650191
20230112T1500,15.770191
20230112T1600,15.280191
20230112T1700,14.060191
20230112T1800,12.670192
20230112T1900,12.370192
20230112T2000,11.660192
20230112T2100,11.300192
20230112T2200,10.670192
20230112T2300,10.160192
20230113T0000,9.790192
20230113T0100,9.840192
20230113T0200,9.620192
20230113T0300,9.800192
20230113T0400,10.290192
20230113T0500,10.670192
20230113T0600,10.850191
20230113T0700,10.610191
20230113T0800,10.290192
20230113T0900,10.310191
20230113T1000,12.810191
20230113T1100,14.370192
20230113T1200,14.870192
20230113T1300,15.480191
20230113T1400,15.750192
20230113T1500,15.780191
20230113T1600,15.730191
20230113T1700,14.470192
20230113T1800,13.460192
20230113T1900,13.570191
20230113T2000,12.710192
20230113T2100,12.2001915
20230113T2200,11.680192
20230113T2300,11.460192
20230114T0000,11.2001915
20230114T0100,10.170192
20230114T0200,10.100191
20230114T0300,10.270191
20230114T0400,10.340192
20230114T0500,10.240191
20230114T0600,10.160192
20230114T0700,10.130192
20230114T0800,10.280191
20230114T0900,10.270191
20230114T1000,11.150191
20230114T1100,11.300192
20230114T1200,11.800192
20230114T1300,12.690191
20230114T1400,13.550192
20230114T1500,14.060191
