location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230117T2200,0.1
20230117T2300,0.1
20230118T0000,0.0
20230118T0100,0.0
20230118T0200,0.0
20230118T0300,0.0
20230118T0400,0.0
20230118T0500,0.0
20230118T0600,0.2
20230118T0700,0.1
20230118T0800,0.2
20230118T0900,0.0
20230118T1000,0.0
20230118T1100,0.0
20230118T1200,0.7
20230118T1300,0.6
20230118T1400,0.3
20230118T1500,0.1
20230118T1600,0.4
20230118T1700,0.0
20230118T1800,0.0
20230118T1900,0.0
20230118T2000,0.0
20230118T2100,0.0
20230118T2200,0.0
20230118T2300,0.0
20230119T0000,0.0
20230119T0100,0.0
20230119T0200,0.0
20230119T0300,0.0
20230119T0400,0.0
20230119T0500,0.0
20230119T0600,0.0
20230119T0700,0.0
20230119T0800,0.0
20230119T0900,0.0
20230119T1000,0.0
20230119T1100,0.0
20230119T1200,0.0
20230119T1300,0.0
20230119T1400,0.0
20230119T1500,0.0
20230119T1600,0.0
20230119T1700,0.0
20230119T1800,0.0
20230119T1900,0.0
20230119T2000,0.0
20230119T2100,0.0
20230119T2200,0.0
20230119T2300,0.0
20230120T0000,0.0
20230120T0100,0.0
20230120T0200,0.0
20230120T0300,0.0
20230120T0400,0.0
20230120T0500,0.2
20230120T0600,0.2
20230120T0700,0.1
20230120T0800,0.1
20230120T0900,0.0
20230120T1000,0.0
20230120T1100,0.0
20230120T1200,0.2
20230120T1300,0.2
20230120T1400,0.2
20230120T1500,0.1
20230120T1600,0.0
20230120T1700,0.0
20230120T1800,0.0
20230120T1900,0.0
20230120T2000,0.0
20230120T2100,0.0
20230120T2200,0.0
20230120T2300,0.0
20230121T0000,0.0
20230121T0100,0.0
20230121T0200,0.0
20230121T0300,0.0
20230121T0400,0.0
20230121T0500,0.0
20230121T0600,0.0
20230121T0700,0.0
20230121T0800,0.0
20230121T0900,0.0
20230121T1000,0.0
20230121T1100,0.0
20230121T1200,0.0
20230121T1300,0.0
20230121T1400,0.0
20230121T1500,0.0
20230121T1600,0.0
20230121T1700,0.0
20230121T1800,0.0
20230121T1900,0.0
20230121T2000,0.0
20230121T2100,0.0
